dataset_id,domain,item_key,title,q25,g3,q38,g4,valid_model_ratings,mean_score
eligible_top300_v1,songs,songs_american_idiot,American Idiot,50,85,90,40,4,66.25
eligible_top300_v1,songs,songs_on_melancholy_hill,On Melancholy Hill,70,75,95,30,4,67.5
eligible_top300_v1,songs,songs_cant_stop,Can’t Stop,70,85,90,15,4,65.0
eligible_top300_v1,songs,songs_welcome_to_the_black_parade,Welcome to the Black Parade,70,85,95,70,4,80.0
eligible_top300_v1,songs,songs_comfortably_numb,Comfortably Numb,70,85,15,30,4,50.0
eligible_top300_v1,songs,songs_one_more_time,One More Time,50,85,10,15,4,40.0
eligible_top300_v1,songs,songs_sweet_child_o_mine,Sweet Child o’ Mine,50,90,10,30,4,45.0
eligible_top300_v1,songs,songs_somebody_told_me,Somebody Told Me,30,75,10,15,4,32.5
eligible_top300_v1,songs,songs_jigsaw_falling_into_place,Jigsaw Falling Into Place,70,85,90,40,4,71.25
eligible_top300_v1,songs,songs_another_one_bites_the_dust,Another One Bites the Dust,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_505,505,0,90,10,10,4,27.5
eligible_top300_v1,songs,songs_outro_wings,Outro : Wings,70,75,90,30,4,66.25
eligible_top300_v1,songs,songs_weird_fishes_arpeggi,Weird Fishes/Arpeggi,30,75,10,15,4,32.5
eligible_top300_v1,songs,songs_billie_jean,Billie Jean,70,85,10,20,4,46.25
eligible_top300_v1,songs,songs_black_hole_sun,Black Hole Sun,70,90,95,85,4,85.0
eligible_top300_v1,songs,songs_whalien_52,Whalien 52,30,85,95,30,4,60.0
eligible_top300_v1,songs,songs_pied_piper,Pied Piper,70,90,95,90,4,86.25
eligible_top300_v1,songs,songs_the_middle,The Middle,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_save_me,Save ME,70,75,90,15,4,62.5
eligible_top300_v1,songs,songs_somewhere_i_belong,Somewhere I Belong,50,75,15,20,4,40.0
eligible_top300_v1,songs,songs_heartshaped_box,Heart‐Shaped Box,70,85,95,90,4,85.0
eligible_top300_v1,songs,songs_let_down,Let Down,50,75,15,20,4,40.0
eligible_top300_v1,songs,songs_instant_crush,Instant Crush,70,85,15,30,4,50.0
eligible_top300_v1,songs,songs_mama,MAMA,70,90,10,10,4,45.0
eligible_top300_v1,songs,songs_paint_it_black,Paint It Black,70,90,95,85,4,85.0
eligible_top300_v1,songs,songs_anpanman,Anpanman,80,95,95,100,4,92.5
eligible_top300_v1,songs,songs_magic_shop,Magic Shop,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_the_pretender,The Pretender,50,85,10,30,4,43.75
eligible_top300_v1,songs,songs_neva,Neva,0,70,10,5,4,21.25
eligible_top300_v1,songs,songs_yellow,Yellow,80,90,95,100,4,91.25
eligible_top300_v1,songs,songs_master_of_puppets,Master of Puppets,80,90,95,85,4,87.5
eligible_top300_v1,songs,songs_what_you_know,What You Know,30,65,15,10,4,30.0
eligible_top300_v1,songs,songs_best_of_me,Best of Me,50,75,15,15,4,38.75
eligible_top300_v1,songs,songs_lithium,Lithium,50,75,95,20,4,60.0
eligible_top300_v1,songs,songs_papercut,Papercut,70,85,95,85,4,83.75
eligible_top300_v1,songs,songs_there_is_a_light_that_never_goes_out,There Is a Light That Never Goes Out,50,85,90,20,4,61.25
eligible_top300_v1,songs,songs_exit_music_for_a_film,Exit Music (for a Film),30,75,90,15,4,52.5
eligible_top300_v1,songs,songs_take_me_to_church,Take Me to Church,70,85,90,40,4,71.25
eligible_top300_v1,songs,songs_love_maze,Love Maze,70,75,85,40,4,67.5
eligible_top300_v1,songs,songs_love_will_tear_us_apart,Love Will Tear Us Apart,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_the_kids_arent_alright,The Kids Aren’t Alright,60,75,90,20,4,61.25
eligible_top300_v1,songs,songs_dont_stop_believin,Don’t Stop Believin’,70,85,95,15,4,66.25
eligible_top300_v1,songs,songs_what_ive_done,What I’ve Done,30,75,15,15,4,33.75
eligible_top300_v1,songs,songs_electric_feel,Electric Feel,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_youre_gonna_go_far_kid,"You’re Gonna Go Far, Kid",50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_summertime_sadness,Summertime Sadness,70,85,90,40,4,71.25
eligible_top300_v1,songs,songs_zombie,Zombie,80,90,95,90,4,88.75
eligible_top300_v1,songs,songs_here_comes_the_sun,Here Comes the Sun,80,95,95,85,4,88.75
eligible_top300_v1,songs,songs_september,September,70,85,95,30,4,70.0
eligible_top300_v1,songs,songs_nothing_else_matters,Nothing Else Matters,70,85,10,15,4,45.0
eligible_top300_v1,songs,songs_r_u_mine,R U Mine?,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_give_it_to_me,give it to me,50,75,90,10,4,56.25
eligible_top300_v1,songs,songs_let_it_happen,Let It Happen,50,75,10,15,4,37.5
eligible_top300_v1,songs,songs_all_i_need,All I Need,50,75,10,10,4,36.25
eligible_top300_v1,songs,songs_duvet,Duvet,50,85,95,30,4,65.0
eligible_top300_v1,songs,songs_reptilia,Reptilia,50,85,95,30,4,65.0
eligible_top300_v1,songs,songs_crawling,Crawling,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_back_in_black,Back in Black,70,90,95,30,4,71.25
eligible_top300_v1,songs,songs_scar_tissue,Scar Tissue,70,85,95,30,4,70.0
eligible_top300_v1,songs,songs_teenagers,Teenagers,70,75,90,30,4,66.25
eligible_top300_v1,songs,songs_breezeblocks,Breezeblocks,50,85,95,20,4,62.5
eligible_top300_v1,songs,songs_mr_blue_sky,Mr. Blue Sky,70,90,95,40,4,73.75
eligible_top300_v1,songs,songs_whyd_you_only_call_me_when_youre_high,Why’d You Only Call Me When You’re High?,50,85,15,20,4,42.5
eligible_top300_v1,songs,songs_boulevard_of_broken_dreams,Boulevard of Broken Dreams,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_riptide,Riptide,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_skit,skit,50,60,10,5,4,31.25
eligible_top300_v1,songs,songs_counting_stars,Counting Stars,70,85,90,70,4,78.75
eligible_top300_v1,songs,songs_bitter_sweet_symphony,Bitter Sweet Symphony,50,85,15,30,4,45.0
eligible_top300_v1,songs,songs_breaking_the_habit,Breaking the Habit,70,75,90,30,4,66.25
eligible_top300_v1,songs,songs_immigrant_song,Immigrant Song,70,85,90,40,4,71.25
eligible_top300_v1,songs,songs_hysteria,Hysteria,70,75,90,20,4,63.75
eligible_top300_v1,songs,songs_n_o,N.O,0,85,10,10,4,26.25
eligible_top300_v1,songs,songs_fake_plastic_trees,Fake Plastic Trees,70,85,90,85,4,82.5
eligible_top300_v1,songs,songs_intro,Intro,0,30,10,0,4,10.0
eligible_top300_v1,songs,songs_otherside,Otherside,50,75,10,20,4,38.75
eligible_top300_v1,songs,songs_fluorescent_adolescent,Fluorescent Adolescent,50,85,15,20,4,42.5
eligible_top300_v1,songs,songs_believer,Believer,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_fortunate_son,Fortunate Son,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_awake,Awake,70,85,95,20,4,67.5
eligible_top300_v1,songs,songs_nude,Nude,70,30,95,100,4,73.75
eligible_top300_v1,songs,songs_redbone,Redbone,50,85,95,20,4,62.5
eligible_top300_v1,songs,songs_time_to_pretend,Time to Pretend,50,85,15,15,4,41.25
eligible_top300_v1,songs,songs_uprising,Uprising,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_the_great_gig_in_the_sky,The Great Gig in the Sky,50,75,90,20,4,58.75
eligible_top300_v1,songs,songs_dna_898059a0_753,DNA.,70,85,95,90,4,85.0
eligible_top300_v1,songs,songs_high_and_dry,High and Dry,50,85,90,30,4,63.75
eligible_top300_v1,songs,songs_b_y_o_b,B.Y.O.B.,50,90,10,10,4,40.0
eligible_top300_v1,songs,songs_duality,Duality,70,75,90,30,4,66.25
eligible_top300_v1,songs,songs_140503_at_dawn,140503 at dawn,0,60,10,10,4,20.0
eligible_top300_v1,songs,songs_starlight,Starlight,80,85,95,40,4,75.0
eligible_top300_v1,songs,songs_epiphany,Epiphany,50,75,90,15,4,57.5
eligible_top300_v1,songs,songs_poker_face,Poker Face,70,90,95,85,4,85.0
eligible_top300_v1,songs,songs_dream_on,Dream On,70,85,90,20,4,66.25
eligible_top300_v1,songs,songs_alright,Alright,50,75,10,5,4,35.0
eligible_top300_v1,songs,songs_not_today,Not Today,70,85,10,15,4,45.0
eligible_top300_v1,songs,songs_see_you_again,See You Again,50,85,90,20,4,61.25
eligible_top300_v1,songs,songs_dog_days_are_over,Dog Days Are Over,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_buddy_holly,Buddy Holly,70,90,95,30,4,71.25
eligible_top300_v1,songs,songs_pink_white,Pink + White,70,85,95,30,4,70.0
eligible_top300_v1,songs,songs_demons,Demons,70,85,95,30,4,70.0
eligible_top300_v1,songs,songs_old_town_road,Old Town Road,75,90,95,70,4,82.5
eligible_top300_v1,songs,songs_highway_to_hell,Highway to Hell,75,90,95,85,4,86.25
eligible_top300_v1,songs,songs_without_me,Without Me,50,85,10,10,4,38.75
eligible_top300_v1,songs,songs_hey_ya,Hey Ya!,50,90,10,10,4,40.0
eligible_top300_v1,songs,songs_welcome_to_the_jungle,Welcome to the Jungle,70,90,95,85,4,85.0
eligible_top300_v1,songs,songs_sex_on_fire,Sex on Fire,50,85,95,30,4,65.0
eligible_top300_v1,songs,songs_starboy,Starboy,70,85,95,30,4,70.0
eligible_top300_v1,songs,songs_space_oddity,Space Oddity,70,85,95,85,4,83.75
eligible_top300_v1,songs,songs_interlude_dream_reality,"Interlude ; Dream, Reality",50,65,15,15,4,36.25
eligible_top300_v1,songs,songs_bts_cypher_pt_3_killer,BTS Cypher PT.3 : KILLER,70,75,10,15,4,42.5
eligible_top300_v1,songs,songs_royals,Royals,70,90,10,40,4,52.5
eligible_top300_v1,songs,songs_savior,Savior,70,85,90,20,4,66.25
eligible_top300_v1,songs,songs_so_far_away,so far away,50,75,90,20,4,58.75
eligible_top300_v1,songs,songs_pompeii,Pompeii,80,90,95,85,4,87.5
eligible_top300_v1,songs,songs_money_trees,Money Trees,80,85,95,85,4,86.25
eligible_top300_v1,songs,songs_livin_on_a_prayer,Livin’ on a Prayer,70,90,95,30,4,71.25
eligible_top300_v1,songs,songs_dont_look_back_in_anger,Don’t Look Back in Anger,60,85,90,20,4,63.75
eligible_top300_v1,songs,songs_knights_of_cydonia,Knights of Cydonia,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_i_bet_you_look_good_on_the_dancefloor,I Bet You Look Good on the Dancefloor,70,85,15,20,4,47.5
eligible_top300_v1,songs,songs_last_nite,Last Nite,50,85,10,15,4,40.0
eligible_top300_v1,songs,songs_last_resort,Last Resort,70,85,15,30,4,50.0
eligible_top300_v1,songs,songs_little_talks,Little Talks,50,75,15,20,4,40.0
eligible_top300_v1,songs,songs_float_on,Float On,70,85,95,30,4,70.0
eligible_top300_v1,songs,songs_friday_im_in_love,Friday I’m in Love,50,85,90,30,4,63.75
eligible_top300_v1,songs,songs_say_it_aint_so,Say It Ain’t So,50,85,10,15,4,40.0
eligible_top300_v1,songs,songs_this_charming_man,This Charming Man,50,85,90,20,4,61.25
eligible_top300_v1,songs,songs_am_i_wrong,Am I Wrong,30,75,10,15,4,32.5
eligible_top300_v1,songs,songs_slow_dancing_in_the_dark,SLOW DANCING IN THE DARK,75,85,95,40,4,73.75
eligible_top300_v1,songs,songs_how_to_disappear_completely,How to Disappear Completely,50,85,90,30,4,63.75
eligible_top300_v1,songs,songs_aint_no_rest_for_the_wicked,Ain’t No Rest for the Wicked,50,85,15,30,4,45.0
eligible_top300_v1,songs,songs_thunderstruck,Thunderstruck,70,90,95,70,4,81.25
eligible_top300_v1,songs,songs_ride,Ride,70,85,95,20,4,67.5
eligible_top300_v1,songs,songs_15_step,15 Step,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_iris,Iris,50,90,95,30,4,66.25
eligible_top300_v1,songs,songs_about_a_girl,About a Girl,50,75,10,20,4,38.75
eligible_top300_v1,songs,songs_intro_2_cool_4_skool,Intro : 2 COOL 4 SKOOL,70,75,10,15,4,42.5
eligible_top300_v1,songs,songs_feel_it_still,Feel It Still,30,85,15,15,4,36.25
eligible_top300_v1,songs,songs_xtal,Xtal,50,75,95,10,4,57.5
eligible_top300_v1,songs,songs_i_miss_you,I Miss You,70,75,95,10,4,62.5
eligible_top300_v1,songs,songs_little_dark_age,Little Dark Age,50,75,15,30,4,42.5
eligible_top300_v1,songs,songs_stronger,Stronger,70,85,10,15,4,45.0
eligible_top300_v1,songs,songs_outro,Outro,50,60,10,5,4,31.25
eligible_top300_v1,songs,songs_seoul,seoul,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_reckoner,Reckoner,50,65,10,20,4,36.25
eligible_top300_v1,songs,songs_go_with_the_flow,Go With the Flow,70,75,90,30,4,66.25
eligible_top300_v1,songs,songs_paper_planes,Paper Planes,70,90,95,90,4,86.25
eligible_top300_v1,songs,songs_hurt,Hurt,70,85,90,15,4,65.0
eligible_top300_v1,songs,songs_power,Power,70,85,90,15,4,65.0
eligible_top300_v1,songs,songs_bleed_it_out,Bleed It Out,50,85,90,30,4,63.75
eligible_top300_v1,songs,songs_moonchild,moonchild,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_even_flow,Even Flow,50,85,10,15,4,40.0
eligible_top300_v1,songs,songs_rolling_in_the_deep,Rolling in the Deep,50,85,15,30,4,45.0
eligible_top300_v1,songs,songs_heroes,“Heroes”,70,90,95,20,4,68.75
eligible_top300_v1,songs,songs_tokyo,tokyo,70,85,95,70,4,80.0
eligible_top300_v1,songs,songs_every_breath_you_take,Every Breath You Take,50,90,90,20,4,62.5
eligible_top300_v1,songs,songs_space_song,Space Song,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_lonely_day,Lonely Day,70,75,90,30,4,66.25
eligible_top300_v1,songs,songs_lie,Lie,50,75,95,10,4,57.5
eligible_top300_v1,songs,songs_helena,Helena,50,75,10,10,4,36.25
eligible_top300_v1,songs,songs_heathens,Heathens,50,85,90,30,4,63.75
eligible_top300_v1,songs,songs_baba_oriley,Baba O’Riley,30,65,10,10,4,28.75
eligible_top300_v1,songs,songs_silver_spoon,Silver Spoon,75,85,95,85,4,85.0
eligible_top300_v1,songs,songs_thnks_fr_th_mmrs,Thnks fr th Mmrs,50,75,10,15,4,37.5
eligible_top300_v1,songs,songs_lonely_boy,Lonely Boy,75,85,95,40,4,73.75
eligible_top300_v1,songs,songs_all_the_small_things,All the Small Things,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_toxic,Toxic,70,85,90,40,4,71.25
eligible_top300_v1,songs,songs_in_bloom,In Bloom,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_the_scientist,The Scientist,50,85,10,30,4,43.75
eligible_top300_v1,songs,songs_island_in_the_sun,Island in the Sun,70,85,95,70,4,80.0
eligible_top300_v1,songs,songs_should_i_stay_or_should_i_go,Should I Stay or Should I Go,50,90,95,30,4,66.25
eligible_top300_v1,songs,songs_intro_boy_meets_evil,Intro : Boy Meets Evil,70,85,10,30,4,48.75
eligible_top300_v1,songs,songs_du_hast,Du hast,50,90,10,10,4,40.0
eligible_top300_v1,songs,songs_interlude,Interlude,50,40,10,5,4,26.25
eligible_top300_v1,songs,songs_snow_hey_oh,Snow ((Hey Oh)),50,75,90,20,4,58.75
eligible_top300_v1,songs,songs_dance_dance,"Dance, Dance",80,85,95,20,4,70.0
eligible_top300_v1,songs,songs_im_not_okay_i_promise,I’m Not Okay (I Promise),30,85,15,20,4,37.5
eligible_top300_v1,songs,songs_someday,Someday,50,60,10,5,4,31.25
eligible_top300_v1,songs,songs_something_about_us,Something About Us,50,75,15,10,4,37.5
eligible_top300_v1,songs,songs_let_me_know,Let Me Know,30,60,10,10,4,27.5
eligible_top300_v1,songs,songs_bodysnatchers,Bodysnatchers,70,75,95,40,4,70.0
eligible_top300_v1,songs,songs_more_than_a_feeling,More Than a Feeling,50,75,15,15,4,38.75
eligible_top300_v1,songs,songs_for_whom_the_bell_tolls,For Whom the Bell Tolls,30,85,95,70,4,70.0
eligible_top300_v1,songs,songs_running_up_that_hill_a_deal_with_god,Running Up That Hill (A Deal With God),30,85,95,30,4,60.0
eligible_top300_v1,songs,songs_under_pressure,Under Pressure,70,85,95,30,4,70.0
eligible_top300_v1,songs,songs_king_kunta,King Kunta,50,90,90,20,4,62.5
eligible_top300_v1,songs,songs_fix_you,Fix You,50,85,90,20,4,61.25
eligible_top300_v1,songs,songs_begin,Begin,50,75,10,10,4,36.25
eligible_top300_v1,songs,songs_airbag,Airbag,70,85,95,85,4,83.75
eligible_top300_v1,songs,songs_in_the_aeroplane_over_the_sea,In the Aeroplane Over the Sea,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_whats_my_age_again,What’s My Age Again?,50,90,10,15,4,41.25
eligible_top300_v1,songs,songs_paradise_city,Paradise City,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_just_like_heaven,Just Like Heaven,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_butterfly,Butterfly,80,90,100,100,4,92.5
eligible_top300_v1,songs,songs_my_own_summer_shove_it,My Own Summer (Shove It),50,75,15,20,4,40.0
eligible_top300_v1,songs,songs_the_diary_of_jane,The Diary of Jane,50,85,90,30,4,63.75
eligible_top300_v1,songs,songs_i_hate_everything_about_you,(I Hate) Everything About You,30,75,90,15,4,52.5
eligible_top300_v1,songs,songs_would,Would?,0,30,10,10,4,12.5
eligible_top300_v1,songs,songs_bts_cypher_4,BTS Cypher 4,70,75,10,10,4,41.25
eligible_top300_v1,songs,songs_the_real_slim_shady,The Real Slim Shady,70,85,10,30,4,48.75
eligible_top300_v1,songs,songs_bad_romance,Bad Romance,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_safe_and_sound,Safe and Sound,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_walking_on_a_dream,Walking on a Dream,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_dani_california,Dani California,50,75,10,20,4,38.75
eligible_top300_v1,songs,songs_hope_world,Hope World,70,85,10,20,4,46.25
eligible_top300_v1,songs,songs_when_you_were_young,When You Were Young,50,75,15,20,4,40.0
eligible_top300_v1,songs,songs_epilogue_young_forever,EPILOGUE : Young Forever,60,75,15,20,4,42.5
eligible_top300_v1,songs,songs_blank_space,Blank Space,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_shape_of_you,Shape of You,70,85,95,20,4,67.5
eligible_top300_v1,songs,songs_killer_queen,Killer Queen,70,90,90,70,4,80.0
eligible_top300_v1,songs,songs_kryptonite,Kryptonite,70,85,90,85,4,82.5
eligible_top300_v1,songs,songs_dancing_queen,Dancing Queen,80,90,95,70,4,83.75
eligible_top300_v1,songs,songs_the_last,The Last,50,75,10,10,4,36.25
eligible_top300_v1,songs,songs_beat_it,Beat It,70,90,95,30,4,71.25
eligible_top300_v1,songs,songs_call_me_maybe,Call Me Maybe,50,85,95,20,4,62.5
eligible_top300_v1,songs,songs_aerials,Aerials,50,75,95,30,4,62.5
eligible_top300_v1,songs,songs_brain_damage,Brain Damage,70,75,90,30,4,66.25
eligible_top300_v1,songs,songs_idioteque,Idioteque,30,75,10,10,4,31.25
eligible_top300_v1,songs,songs_digital_love,Digital Love,70,85,85,30,4,67.5
eligible_top300_v1,songs,songs_somewhere_only_we_know,Somewhere Only We Know,50,85,15,20,4,42.5
eligible_top300_v1,songs,songs_crazy,Crazy,50,75,90,10,4,56.25
eligible_top300_v1,songs,songs_the_sound_of_silence,The Sound of Silence,70,85,95,30,4,70.0
eligible_top300_v1,songs,songs_ace_of_spades,Ace of Spades,80,90,95,95,4,90.0
eligible_top300_v1,songs,songs_iron_man,Iron Man,80,90,95,95,4,90.0
eligible_top300_v1,songs,songs_money_for_nothing,Money for Nothing,50,85,90,30,4,63.75
eligible_top300_v1,movies,movies_the_shawshank_redemption,The Shawshank Redemption,70,85,95,30,4,70.0
eligible_top300_v1,movies,movies_the_dark_knight,The Dark Knight,85,90,95,85,4,88.75
eligible_top300_v1,movies,movies_inception,Inception,70,85,95,40,4,72.5
eligible_top300_v1,movies,movies_fight_club,Fight Club,70,90,95,70,4,81.25
eligible_top300_v1,movies,movies_interstellar,Interstellar,75,90,95,70,4,82.5
eligible_top300_v1,movies,movies_forrest_gump,Forrest Gump,80,90,95,90,4,88.75
eligible_top300_v1,movies,movies_pulp_fiction,Pulp Fiction,70,90,95,30,4,71.25
eligible_top300_v1,movies,movies_the_godfather,The Godfather,80,95,95,90,4,90.0
eligible_top300_v1,movies,movies_the_lord_of_the_rings_the_fellowship_of_the_ring,The Lord of the Rings: The Fellowship of the Ring,80,85,95,90,4,87.5
eligible_top300_v1,movies,movies_the_lord_of_the_rings_the_return_of_the_king,The Lord of the Rings: The Return of the King,80,90,95,85,4,87.5
eligible_top300_v1,movies,movies_seven,Seven,50,90,95,20,4,63.75
